169,171,198,181,252,185,294,182,
169,168,207,176,257,182,308,180,
173,170,219,177,266,181,311,178,
177,176,228,182,275,186,314,180,
186,175,233,183,281,185,311,180,
168,174,200,176,241,182,288,187,
168,172,201,179,248,184,299,187,
168,173,213,184,218,184,258,189,305,191,
171,171,214,186,266,192,308,195,
174,171,221,189,271,194,308,200,
185,175,241,191,281,196,311,204,
192,174,248,189,287,194,
167,161,207,175,255,187,293,191,
170,160,215,176,261,187,303,192,
179,166,226,179,268,190,314,196,
196,168,229,179,267,190,278,191,313,193,
198,173,237,184,282,195,
167,166,203,176,244,188,291,198,
162,164,204,185,248,196,298,206,
193,179,230,189,273,200,301,210,
191,169,231,187,242,188,276,197,305,207,
171,157,203,172,250,190,255,191,287,198,
171,161,220,174,267,190,296,197,
168,163,229,178,268,192,304,199,
194,162,239,176,282,193,
168,164,199,170,244,186,283,200,
166,160,205,179,254,195,305,208,
173,160,214,180,218,181,262,196,304,211,
176,161,223,186,269,200,305,213,
191,167,235,187,242,188,280,200,
203,168,253,189,291,201,
176,154,213,169,262,190,298,201,
175,161,227,174,264,191,309,203,
183,160,234,174,280,194,311,201,
170,160,200,164,243,180,275,196,
169,161,213,174,248,186,298,207,
171,160,212,176,264,195,294,208,
172,159,217,177,266,194,303,211,
174,158,224,179,267,193,301,211,
172,160,221,178,262,192,302,211,
168,158,210,173,217,174,262,191,307,210,
169,159,219,174,260,191,306,210,
169,157,213,177,259,193,299,212,
167,156,213,179,260,196,305,214,
173,157,213,176,270,195,303,211,
178,160,222,179,266,195,299,214,
174,155,218,179,267,195,302,213,
183,160,227,179,273,197,308,216,
185,160,229,179,271,194,307,214,
188,161,229,178,273,193,307,214,
169,153,216,181,258,195,306,217,
170,158,214,175,256,190,302,211,
167,155,210,179,253,195,300,215,
166,159,209,177,213,178,250,192,306,212,
169,160,211,173,247,188,295,207,
170,161,206,173,250,189,300,205,
171,163,202,171,209,172,250,190,304,206,
167,160,203,173,250,189,303,207,
172,161,209,174,251,188,303,209,
171,161,206,176,256,194,296,208,
172,153,208,180,259,198,299,215,
174,158,211,173,261,191,300,210,
174,158,214,177,261,194,299,212,
190,163,226,179,233,180,277,197,301,212,
190,163,229,179,271,193,302,212,
185,159,231,179,274,196,308,216,
187,161,230,179,273,194,304,214,
189,162,236,182,275,197,307,217,
187,159,233,177,274,192,280,196,308,214,
191,164,235,182,280,199,307,217,
191,163,235,182,241,183,280,199,307,217,
188,164,232,183,278,201,303,217,
189,163,230,181,274,198,305,218,
171,143,199,162,239,179,285,197,311,215,
196,164,243,184,284,199,
199,165,253,188,290,205,
191,162,237,183,241,184,282,201,
190,161,240,184,289,206,
190,163,240,188,292,208,
179,142,212,167,263,193,311,211,
176,141,213,166,270,193,312,211,
175,142,212,165,264,193,313,212,
177,144,209,165,258,191,308,208,
185,146,218,170,267,193,308,205,
185,148,216,169,265,193,311,210,
193,154,223,174,266,194,311,205,
191,153,223,176,272,197,313,213,
177,142,208,172,240,195,279,213,
179,141,211,176,242,196,287,215,
187,153,216,181,250,204,287,221,
194,156,224,185,228,187,259,206,295,223,
202,158,235,188,267,208,292,223,
182,134,212,163,243,190,273,209,
185,136,226,167,258,195,286,212,
198,145,233,174,268,204,300,221,
181,139,206,157,238,183,273,214,
182,132,208,165,242,194,276,222,
186,137,225,185,254,209,288,235,
191,140,229,187,260,211,281,231,
204,144,240,188,273,212,
212,124,231,167,265,204,299,228,
202,129,233,171,266,214,296,229,
206,142,234,182,272,226,
192,133,211,158,235,195,275,239,
196,128,215,166,241,204,244,212,275,243,
203,125,224,176,252,219,274,246,
207,125,226,180,255,221,269,245,
212,141,233,185,258,220,
216,116,225,150,246,195,271,230,
214,116,227,146,228,152,248,196,272,230,
209,116,234,158,250,197,278,234,
213,124,239,169,255,204,282,239,
217,133,239,170,259,213,280,239,
220,142,242,179,263,222,
202,124,219,148,243,189,261,227,
201,121,221,155,244,195,264,234,
206,124,225,162,250,203,269,242,
208,122,227,169,253,214,270,249,
209,134,227,176,254,218,265,249,
216,137,239,182,261,220,
210,111,224,146,244,186,268,224,
213,115,228,153,246,190,271,229,
212,113,231,157,251,194,273,232,
212,117,232,157,250,196,276,242,
211,117,236,163,237,168,255,202,278,243,
216,123,238,172,254,201,277,237,
221,138,238,179,255,209,277,244,
207,115,218,144,234,180,253,216,274,246,
208,115,219,152,234,183,236,190,255,224,
208,117,222,161,237,195,258,231,
210,115,220,162,240,204,258,236,
215,114,223,169,243,209,264,243,
222,124,231,180,252,218,266,248,
222,126,234,184,252,217,263,244,
233,114,231,144,246,197,264,228,
233,110,237,149,250,202,269,233,
229,110,237,153,249,206,271,243,
221,114,237,164,252,217,269,243,
224,121,239,175,254,224,
